id,title
1,Đọc sách
2,Chơi đàn guitar
3,Đi bộ đường dài
4,Chụp ảnh
5,Trồng cây
6,Vẽ tranh
7,Làm bánh
8,Xem phim
9,Nghe nhạc
10,Chơi bóng đá
11,Chơi bóng rổ
12,Đi xe đạp
13,Học ngoại ngữ
14,Chơi cờ vua
15,Chơi game
16,Đi du lịch
17,Làm đồ handmade
18,Câu cá
19,Chạy bộ
20,Nhảy múa
21,Chơi đàn piano
22,Thiền định
23,Viết nhật ký
24,Chơi đàn ukulele
25,Thêu thùa
26,Nấu ăn
27,Đạp xe địa hình
28,Học nấu ăn
29,Đi bơi
30,Sưu tầm tem
31,Hát karaoke
32,Chơi bowling
33,Lướt web
34,Đọc truyện tranh
35,Làm vườn
36,Đua xe
37,Chơi trống
38,Tham gia câu lạc bộ sách
39,Học nhảy
40,Sưu tầm đồ cổ
41,Chơi cờ tướng
42,Đan len
43,Tham gia tình nguyện
44,Đi dã ngoại
45,Nghe podcast
46,Thể dục thể thao
47,Chơi bóng chuyền
48,Học lập trình
49,Chơi trượt ván
50,Đọc báo
51,Chơi cầu lông
52,Chơi saxophone
53,Làm phim ngắn
54,Tham gia yoga
55,Chơi violin
56,Sưu tầm đồ chơi
57,Học làm cocktail
58,Đi leo núi
59,Chơi đàn organ
60,Tham gia hội họa
61,Chơi cờ Caro
62,Học thiết kế đồ họa
63,Lập nhóm nhạc
64,Đạp xe đường dài
65,Làm phim hoạt hình
66,Chơi bida
67,Học nhạc lý
68,Đi săn ảnh thiên nhiên
69,Chơi cờ vua trực tuyến
70,Tham gia chạy marathon
71,Chơi bóng bầu dục
72,Chơi trượt patin
73,Tham gia câu lạc bộ sách thiếu nhi
74,Thực hành vẽ manga
75,Học làm bánh mì
76,Tham gia nhóm nhảy hip hop
77,Học làm mỹ phẩm handmade
78,Chơi golf
79,Chơi saxophone điện tử
80,Tham gia làm phim tài liệu
81,Đi câu cá biển
82,Chơi đàn tranh
83,Chơi bóng ném
84,Học làm đồ gốm sứ
85,Chơi thuyền kayak
86,Tham gia câu lạc bộ đua xe
87,Học nhảy salsa
88,Làm đồ trang sức handmade
89,Chơi trống điện tử
90,Học về thiên văn học
91,Tham gia câu lạc bộ viết văn
92,Đi cắm trại
93,Chơi cầu mây
94,Học làm bánh kem
95,Chơi đàn bầu
96,Tham gia câu lạc bộ cờ vây
97,Chơi trượt tuyết
98,Làm đồ chơi gỗ
99,Học hát opera
100,Tham gia chạy bộ thiện nguyện
101,Chơi bowling trong nhà
102,Học làm sushi
103,Tham gia hội mê truyện tranh
104,Chơi đàn mandolin
105,Đi leo núi đá
106,Tham gia câu lạc bộ nhiếp ảnh
107,Làm video vlog
108,Học đan len
109,Chơi trò boardgame
110,Tham gia nhóm nhảy hiện đại
111,Học làm trà đạo
112,Chơi đàn bass
113,Đi thuyền buồm
114,Chơi cầu lông trong nhà
115,Tham gia lớp học làm gốm
116,Học làm bánh trung thu
117,Chơi trượt băng nghệ thuật
118,Đi lặn biển
119,Chơi đàn koto
120,Tham gia nhóm tình nguyện môi trường
121,Học làm bánh pizza
122,Chơi trò escape room
123,Đi xe máy đường dài
124,Học làm mứt trái cây
125,Chơi saxophone jazz
126,Tham gia câu lạc bộ yoga
127,Chơi trò magic card
128,Học làm trang điểm
129,Đi cắm trại dã ngoại
130,Chơi đàn accordion
131,Học làm kim chi
132,Chơi trò chơi nhập vai
133,Đi thăm bảo tàng
134,Học làm kem tự làm
135,Chơi trống cajon
136,Tham gia nhóm hát đồng ca
137,Học làm quilling nghệ thuật giấy
138,Chơi cầu mây ngoài trời
139,Đi tham quan danh lam thắng cảnh
140,Học làm món ăn chay
141,Chơi đàn ghita điện
142,Học làm bánh cupcake
143,Đi bộ ngắm cảnh thành phố
144,Chơi trò boardgame chiến thuật
145,Học làm bánh mì Pháp
146,Chơi trượt tuyết trên núi
147,Đi tham quan di tích lịch sử
148,Học làm đồ gỗ thủ công
149,Chơi trò chơi điện tử thực tế ảo
150,Tham gia lớp học nhảy hiện đại
151,Tham gia câu lạc bộ đọc sách thiếu nhi
152,Học làm cocktail không cồn
153,Chơi trò chơi giải đố
154,Đi bộ đường phố ngắm graffiti
155,Chơi đàn clarinet
156,Học làm đồ gốm nghệ thuật
157,Tham gia lớp học chụp ảnh phong cảnh
158,Đi thăm vườn hoa
159,Chơi trò chơi thực tế tăng cường
160,Học làm mĩ phẩm thiên nhiên
161,Chơi đàn mandolin điện tử
162,Đi chạy bộ buổi sáng
163,Tham gia nhóm làm phim nghiệp dư
164,Học làm bánh bông lan
165,Chơi trò đua xe mô hình
166,Đi câu cá sông
167,Học thêu tay
168,Tham gia câu lạc bộ viết truyện
169,Chơi đàn cello
170,Đi tham quan triển lãm nghệ thuật
171,Học làm đồ gỗ miniatures
172,Chơi trò chơi thẻ bài
173,Tham gia lớp học viết chữ đẹp
174,Đi ngắm hoàng hôn
175,Chơi trò chơi boardgame kinh dị
176,Học làm món ăn đặc sản địa phương
177,Chơi đàn kèn trumpet
178,Đi lướt ván đứng (stand-up paddleboarding)
179,Tham gia nhóm đạp xe đường dài
180,Học làm đồ da thủ công
181,Chơi trò chơi nhập vai trực tuyến
182,Đi tham quan công viên quốc gia
183,Học làm bánh ngọt Pháp
184,Chơi đàn mandolin cổ điển
185,Đi chạy bộ dã ngoại
186,Tham gia câu lạc bộ bơi lội
187,Học làm nước ép trái cây tươi
188,Chơi trò chơi điện tử retro
189,Đi du lịch bụi
190,Học làm đồ trang sức bạc
191,Chơi đàn oboe
192,Đi tập thể dục ngoài trời
193,Tham gia nhóm hát thánh ca
194,Học làm kem dừa
195,Chơi trò chơi cờ vây trực tuyến
196,Đi leo núi qua đêm
197,Học làm bánh crepe
198,Chơi đàn trumpet cổ điển
199,Đi ngắm cảnh thiên nhiên buổi sáng
200,Học làm đồ chơi truyền thống
